Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
MAIN_MSGbCrsCtrlCtrlActv|boolean|MAIN|0|0|0|MAIN_MSGbCrsCtrlCtrlActv|0|0|Phys|bool|2|0||Communication|ECM2|Raw|MAIN_MSGbCrsCtrlCtrlActv||1|||||||NONE|0|1||||1|0|0|Message ECM2 10ms |0||||||
MAIN_MSGu8ECM2AliveCounter|uint8|MAIN|0|0|0|MAIN_MSGu8ECM2AliveCounter|0|0|Hexa|-||||Communication|ECM2|Raw|MAIN_MSGu8ECM2AliveCounter||1|||||||NONE|0|1||||1|0|0|Message ECM2 10ms |0||||||
MAIN_MSGf32ECM2AliveCounterPhys|float32|MAIN|0|0|0|MAIN_MSGf32ECM2AliveCounterPhys|0|0|Phys|NA|1|1|0|Communication|ECM2|Physical|MAIN_MSGf32ECM2AliveCounterPhys||1|||||||NONE|0|1||||1|0|0|Message ECM2 10ms |0||||||
MAIN_MSGu8ECM2Checksum|uint8|MAIN|0|0|0|MAIN_MSGu8ECM2Checksum|0|0|Hexa|-||||Communication|ECM2|Raw|MAIN_MSGu8ECM2Checksum||1|||||||NONE|0|1||||1|0|0|Message ECM2 10ms |0||||||
MAIN_MSGf32ECM2ChecksumPhys|float32|MAIN|0|0|0|MAIN_MSGf32ECM2ChecksumPhys|0|0|Phys|NA|1|1|0|Communication|ECM2|Physical|MAIN_MSGf32ECM2ChecksumPhys||1|||||||NONE|0|1||||1|0|0|Message ECM2 10ms |0||||||
MAIN_MSGu16EngN|uint16|MAIN|0|0|0|MAIN_MSGu16EngN|0|0|Hexa|-||||Communication|ECM2|Raw|MAIN_MSGu16EngN||1|||||||NONE|0|1||||1|0|0|Message ECM2 10ms |0||||||
MAIN_MSGf32EngNPhys|float32|MAIN|0|0|0|MAIN_MSGf32EngNPhys|0|0|Phys|rpm|1|1|0|Communication|ECM2|Physical|MAIN_MSGf32EngNPhys||1|||||||NONE|0|1||||1|0|0|Message ECM2 10ms |0||||||
MAIN_MSGu16EngNTgtIdle|uint16|MAIN|0|0|0|MAIN_MSGu16EngNTgtIdle|0|0|Hexa|-||||Communication|ECM2|Raw|MAIN_MSGu16EngNTgtIdle||1|||||||NONE|0|1||||1|0|0|Message ECM2 10ms |0||||||
MAIN_MSGf32EngNTgtIdlePhys|float32|MAIN|0|0|0|MAIN_MSGf32EngNTgtIdlePhys|0|0|Phys|rpm|1|1|0|Communication|ECM2|Physical|MAIN_MSGf32EngNTgtIdlePhys||1|||||||NONE|0|1||||1|0|0|Message ECM2 10ms |0||||||
MAIN_MSGu8GearLmtForLightOff|uint8|MAIN|0|0|0|MAIN_MSGu8GearLmtForLightOff|0|0|Hexa|-||||Communication|ECM2|Raw|MAIN_MSGu8GearLmtForLightOff||1|||||||NONE|0|1||||1|0|0|Message ECM2 10ms |0||||||
MAIN_MSGs16Algt|sint16|MAIN|0|0|0|MAIN_MSGs16Algt|0|0|Hexa|-||||Communication|ESC1|Raw|MAIN_MSGs16Algt||1|||||||NONE|0|1||||1|0|0|Message ESC1 10ms |0||||||
MAIN_MSGf32AlgtPhys|float32|MAIN|0|0|0|MAIN_MSGf32AlgtPhys|0|0|Phys|m/s^2|1|1|0|Communication|ESC1|Physical|MAIN_MSGf32AlgtPhys||1|||||||NONE|0|1||||1|0|0|Message ESC1 10ms |0||||||
MAIN_MSGbEscFlgFlt|boolean|MAIN|0|0|0|MAIN_MSGbEscFlgFlt|0|0|Phys|bool|2|0||Communication|ESC1|Raw|MAIN_MSGbEscFlgFlt||1|||||||NONE|0|1||||1|0|0|Message ESC1 10ms |0||||||
MAIN_MSGu8GearShiftPrevn|uint8|MAIN|0|0|0|MAIN_MSGu8GearShiftPrevn|0|0|Hexa|-||||Communication|ESC1|Raw|MAIN_MSGu8GearShiftPrevn||1|||||||NONE|0|1||||1|0|0|Message ESC1 10ms |0||||||
MAIN_MSGbTcsCtrlActv|boolean|MAIN|0|0|0|MAIN_MSGbTcsCtrlActv|0|0|Phys|bool|2|0||Communication|ESC1|Raw|MAIN_MSGbTcsCtrlActv||1|||||||NONE|0|1||||1|0|0|Message ESC1 10ms |0||||||
MAIN_MSGbTcsFlgFlt|boolean|MAIN|0|0|0|MAIN_MSGbTcsFlgFlt|0|0|Phys|bool|2|0||Communication|ESC1|Raw|MAIN_MSGbTcsFlgFlt||1|||||||NONE|0|1||||1|0|0|Message ESC1 10ms |0||||||
MAIN_MSGu16EngineSoakTime|uint16|MAIN|0|0|0|MAIN_MSGu16EngineSoakTime|0|0|Hexa|-||||Communication|ECM3|Raw|MAIN_MSGu16EngineSoakTime||1|||||||NONE|0|1||||1|0|0|Message ECM3 20ms |0||||||
MAIN_MSGf32EngineSoakTimePhys|float32|MAIN|0|0|0|MAIN_MSGf32EngineSoakTimePhys|0|0|Phys|min|1|1|0|Communication|ECM3|Physical|MAIN_MSGf32EngineSoakTimePhys||1|||||||NONE|0|1||||1|0|0|Message ECM3 20ms |0||||||
MAIN_MSGu8EngPAmbAir|uint8|MAIN|0|0|0|MAIN_MSGu8EngPAmbAir|0|0|Hexa|-||||Communication|ECM3|Raw|MAIN_MSGu8EngPAmbAir||1|||||||NONE|0|1||||1|0|0|Message ECM3 20ms |0||||||
